Vegies,Vegies2,Vegies3,Flour/Bread,Flour/Bread2,Sauces,Sauces2,Sauces3,Meat,Meat2,,Rice/Noodles,Spices,Spices2,Spices3,sp,Other,Other2,Ingredients ,input2,input3,Diabetic,target
,,,,,,,,,,,,,chiles moritas,pasilla chiles,,,,maple syrup,,,,
,,,,,,,,,,,,,,,,baking soda,unsalted butter melted,white vinegar ,,,,
,,,,,,,,,,,,,,,,brown sugar,cold beer,oyster sauce,,,,
,Onion,,,,,,,,,,long rice,,,,,chicken or vegetable stock,,rice wine vinegar,,,,
,,yellow and brown mustard seeds,,,,apple cider vinegar,,,,,,,,,,honey,,liquid smoke,,,,
water spinach,,,,,oyster sauce,,,,,,,green chillies,,,,,,,,,,
,,,,,,,,pork,egg,,,green chillies,,,,,,,,,,
chana dal,Onion,tomato,,,,,,,,,,,,,,,,,,,,
,,,,,,,,boneless chicken thighs,,,,Ginger,,,,,,,,,,
,,Peas,,,,,,,,,old jasminie rice,,,,,oil,,,,,,
red grapefruit,,,,,,,,,,,,green chillies,,,,white sugar,,,,,,
,,,,bread flour,,,,,,,,,,,,sugar,,,,,Yes,Enchilada Sauce
,,,,,,apple cider vinegar,,,,,,guagillo chiles,,,,,,,,,No,Flour Tortillas
tomatillos,Onion,cilantro,,,,,,,,,,,,,,,,beef,,,No,Garlic Bread
urad dal,,,,,,,,,,,,,,,,oil,,steak,,,No,Garlicky Cabbage And Fish Sauce
chickpeas,,,,,Mayo,,,,,,,garlic,,,,,,boneless pork butt,,,Yes,Gobi Manchurian
,Onion,,,,,,,,,,noodles,Ginger,,,,,,chicken,,,No,Greek Chicken And Potatoes
,,,,,,,,pork,,,,garlic,,,,,,chicken breasts,,,,
Coriander,,,,,,,,,,,,garlic,Chilli pepper ,,,,,pork,,,,
,,,,,,,,,,,,,,,,,,eggs,,,,
,,,,,,,,,,,,,,,,,,lamb,,,,
,,,,,,,,,,,,,,,,,,ribs,,,,
,,,,,,,,,,,,,,,,,,salami,,,,
,,,,,,,,,,,,,,,,,,boneless pork shoulder,,,,
,,,,,,,,,,,,,,,,,,whole turkey,,,,
,,,,,,,,,,,,,,,,,,boneless chicken thighs,,,,
,,,,,,,,,,,,,,,,,,dried shrimp,,,,
,,,,,,,,,,,,,,,,,,lard,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,No,Guasacaca
,,,,,,,,,,,,,,,,,,,,,No,Halal Cart Chicken
,,,,,,,,,,,,,,,,,,rice,,,No,Halal Cart Red Sauce
,,,,,,,,,,,,,,,,,,basmati rice,,,No,Hamburger Buns
,,,,,,,,,,,,,,,,,,sticky rice,,,No,Harissa Hot Sauce
,,,,,,,,,,,,,,,,,,macaroni,,,No,Hasselback Butternut Squash
,,,,,,,,,,,,,,,,,,noodles,,,,
,,,,,,,,,,,,,,,,,,rice noodles,,,,
,,,,,,,,,,,,,,,,,,old jasminie rice,,,,
,,,,,,,,,,,,,,,,,,long rice,,,,
,,,,,,,,,,,,,,,,,,tortillas,,,,
,,,,,,,,,,,,,,,,,,taco,,,,
,,,,,,,,,,,,,,,,,,,,,No,Homemade Pasta
,,,,,,,,,,,,,,,,,,,,,No,Hummus
,,,,,,,,,,,,,,,,,,grams ground cannabis,,,No,Jalepeño Hot Sauce
,,,,,,,,,,,,,,,,,,guagillo chiles,,,Yes,Kofte Kebabs
,,,,,,,,,,,,,,,,,,Ginger,,,,
,,,,,,,,,,,,,,,,,,garlic,,,No,Lamb Meatballs With Tomato Sauce
,,,,,,,,,,,,,,,,,,red chilies,,,No,Larb Gai
,,,,,,,,,,,,,,,,,,,,,No,Lemon Tahini Dressing
,,,,,,,,,,,,,,,,,,chiles de árbol,,,Yes,Lubia Polo
,,,,,,,,,,,,,,,,,,peppercons,,,No,Mac And Cheese
,,,,,,,,,,,,,,,,,,,,,No,Masala Green Beans
,,,,,,,,,,,,,,,,,,green chillies,,,No,Massaman Curry
,,,,,,,,,,,,,,,,,,,,,Yes,Memphis Style Ribs
,,,,,,,,,,,,,,,,,,Chilli pepper ,,,Yes,Mocha Frappuccino
,,,,,,,,,,,,,,,,,,black peppercorns,,,No,Nando's Peri Peri Chicken
,,,,,,,,,,,,,,,,,,dried chilles,,,No,No Knead Pan Pizza
,,,,,,,,,,,,,,,,,,ancho chiles,,,No,Oaxacan Black Beans
,,,,,,,,,,,,,,,,,,arbol chile,,,No,Onion Bhajis
,,,,,,,,,,,,,,,,,,curry leaves,,,No,Pad See Ew
,,,,,,,,,,,,,,,,,,New Mexico chiles,,,No,Pad Thai
,,,,,,,,,,,,,,,,,,,,,No,Phat Phrik Khing
,,,,,,,,,,,,,,,,,,serrano chiles,,,,
,,,,,,,,,,,,,,,,,,,,,No,Pita Bread
,,,,,,,,,,,,,,,,,,poblano peppers,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,black pepper,,,,
,,,,,,,,,,,,,,,,,,pasilla chiles,,,,
,,,,,,,,,,,,,,,,,,bay leaves,,,,
,,,,,,,,,,,,,,,,,,salicion,,,,
,,,,,,,,,,,,,,,,,,fresh thyme,,,,
,,,,,,,,,,,,,,,,,,chiles moritas,,,,
,,,,,,,,,,,,,,,,,,biryani masala,,,,
,,,,,,,,,,,,,,,,,,seasme seeds,,,,
,,,,,,,,,,,,,,,,,,ground caraway,,,,
,,,,,,,,,,,,,,,,,,Greek seasoning,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ghee,,,Yes,Pizza Dough
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,cheese,,,No,Portuguese Hot Sauce
,,,,,,,,,,,,,,,,,,,,,Yes,Potato And Green Chili Hash
,,,,,,,,,,,,,,,,,,yogurt,,,Yes,Queso Dip
,,,,,,,,,,,,,,,,,,tofu,,,Yes,Raspberry And Elderflower Gin And Tonic
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,butter,,,Yes,Roasted Parsnips And Carrots
,,,,,,,,,,,,,,,,,,chicken stock,,,,
,,,,,,,,,,,,,,,,,,vegetable stock,,,,
,,,,,,,,,,,,,,,,,,chicken or vegetable stock,,,,
,,,,,,,,,,,,,,,,,,lemon juice,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,coconut milk,,,No,Roti
,,,,,,,,,,,,,,,,,,yeast ,,,Yes,Salami Chips With White Bean Dip
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,No,Salsa Amarilla
,,,,,,,,,,,,,,,,,,,,,Yes,Samosa Pie
,,,,,,,,,,,,,,,,,,oil,,,No,Sesame Tofu
,,,,,,,,,,,,,,,,,,,,,No,Sichuan Dry Fried Green Beans
,,,,,,,,,,,,,,,,,,,,,No,Sichuan Three Pepper Tofu
,,,,,,,,,,,,,,,,,,,,,Yes,Smoked Pork Shoulder
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,No,Smoked Whole Turkey
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,sugar,,,No,Smoky Jalepeno And Lime Cranberry Sauce
,,,,,,,,,,,,,,,,,,honey,,,,
,,,,,,,,,,,,,,,,,,cold beer,,,No,Smoky Three Chile Salsa
,,,,,,,,,,,,,,,,,,baking soda,,,Yes,Soft Pretzels 1
,,,,,,,,,,,,,,,,,,pecan,,,Yes,Soft Pretzels 2
,,,,,,,,,,,,,,,,,,Tomatillo salsa,,,No,Spanish Rice
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,No,Spicy Whole Grain Pub Mustard
,,,,,,,,,,,,,,,,,,white beans,,,No,Stir Fried Morning Glory
,,,,,,,,,,,,,,,,,,long beans,,,No,Stir Fried Pork With Hot Basil
,,,,,,,,,,,,,,,,,,dried black beans,,,No,Tarka Dal
,,,,,,,,,,,,,,,,,,mustard seeds,,,No,Teriyaki Chicken
,,,,,,,,,,,,,,,,,,,,,Yes,Thai Fried Rice
,,,,,,,,,,,,,,,,,,,,,No,Thai Pomelo Salad
,,,,,,,,,,,,,,,,,,,,,No,Thin Crust Pizza
,,,,,,,,,,,,,,,,,,,,,No,Toasted Guajillo Salsa
,,,,,,,,,,,,,,,,,,,,,No,Tomatillo Salsa
,,,,,,,,,,,,,,,,,,,,,Yes,Vada
,,,,,,,,,,,,,,,,,,,,,No,Vegetarian Chicken Salad
,,,,,,,,,,,,,,,,,,,,,Yes,Vegetarian Pho
,,,,,,,,,,,,,,,,,,,,,Yes,Vietnamese Pork Chops
,,,,,,,,,,,,,,,,,,,,,No,Yemeni Hot Sauce
