Vegies,Vegies2,Vegies3,Flour/Bread,Flour/Bread2,Sauces,Sauces2,Sauces3,Meat,Meat2,Rice/Noodles,Spices,Spices2,Spices3,Other,Other2,Diabetic,Target
,,,,,,,,,,,guagillo chiles,New Mexico chiles,,oil,,No,Harissa Hot Sauce
butternut squash,,,,,maple syrup,,,,,,bay leaves,,,,buttersquash,No,Hasselback Butternut Squash
,,,flour,,,,,,,,,,,,,No,Homemade Pasta
chickpeas,celery,,,,tahini,,,,,,,,,,,No,Hummus
Jalepeno,,,,,,,,,,,garlic,serrano chiles,,,,No,Jalepeño Hot Sauce
,Onion,,,,,,,beef,lamb,,,,,,,Yes,Kofte Kebabs
,,,,bread crumbs,tomato sauce,,,,,,,,,,,No,Lamb Meatballs With Tomato Sauce
shallot,,,,,,,,chicken,,sticky rice,,,,,,No,Larb Gai
,,lemon,,,tahini,,,,,,,,,,lemon juice,No,Lemon Tahini Dressing
,,,,,,,,beef,lamb,rice,,,,,,Yes,Lubia Polo
,,,,bread crumbs,,,,,,macaroni,,,,cheese,,No,Mac And Cheese
,,,,,,,,,,,,,,ghee,mustard seeds,No,Masala Green Beans
Potato,,,,,,,,,,,,,,coconut milk,,No,Massaman Curry
,,,,,,,,ribs,,,garlic,,,dark brown sugar,,Yes,Memphis Style Ribs
,,,,,,,,,,,,,,,,Yes,Mocha Frappuccino
,,,,,,,,,,,,,,,,No,Nando's Peri Peri Chicken
,,,,bread flour,,,,,,,,,,mozarella cheese,yeast,No,No Knead Pan Pizza
black beans,,,,,,,,,,,garlic,chiles de árbol,,dried black beans,,No,Oaxacan Black Beans
,,,,,,,,,,,,,,,,No,Onion Bhajis
chinese broccoli,,,,,,,,,,noodles,,,,vegetable oil,,No,Pad See Ew
,,,,,,,,dried shrimp,eggs,rice noodles,,,,,,No,Pad Thai
,,,,,thai red curry paste,,,,,,,,,tofu,long beans,No,Phat Phrik Khing
,,,wheat flour,,,,,,,,,,,granulated sugar,,No,Pita Bread
,,,flour,,,,,,,,,,,olive oil,,Yes,Pizza Dough
,,cilantro,,,hot sauce,,,,,,,,,,butter,No,Portuguese Hot Sauce
Potato,,cilantro,,,white vinegar ,,,,,,,,,,,Yes,Potato And Green Chili Hash
,Onions,,,,,,,,,,,,,american cheese,,Yes,Queso Dip
,,rasberries,,,,,,,,,fresh thyme,,,,lemon juice,Yes,Raspberry And Elderflower Gin And Tonic
parsnips,carrot,,,,,,,,,,,,,olive oil,,Yes,Roasted Parsnips And Carrots
,,,flour,,,,,,,,,,,,butter,No,Roti
,,,,,,,,salami,,,garlic,,,white beans,,Yes,Salami Chips With White Bean Dip
,,yellow tomato,,,,,,,,,garlic,seasme seeds,,,,No,Salsa Amarilla
Potato,Onions,Peas,,,,,,,,,,,,,,Yes,Samosa Pie
,,,corn starch,,,,,,,,,seasme seeds,,tofu,,No,Sesame Tofu
,,,,,,,,,,,peppercons,dried chilles,salicion,,,No,Sichuan Dry Fried Green Beans
green peppers,,,,,,,,,,,,,red chilies,tofu,,No,Sichuan Three Pepper Tofu
,,,,,,,,ribs,boneless pork shoulder,,,,,pecan,,Yes,Smoked Pork Shoulder
,,,,,,,,whole turkey,,,black pepper,,,olive oil,,No,Smoked Whole Turkey
Jalepeno,frozen cranberrries,,,,,,,,,,,,,,,No,Smoky Jalepeno And Lime Cranberry Sauce
,,,,,,,,,,,,chiles moritas,pasilla chiles,,,No,Smoky Three Chile Salsa
,,,,,,,,,,,,,,baking soda,unsalted butter melted,Yes,Soft Pretzels 1
,,,,,,,,,,,,,,brown sugar,cold beer,Yes,Soft Pretzels 2
,Onion,,,,,,,,,long rice,,,,chicken or vegetable stock,,No,Spanish Rice
,,yellow and brown mustard seeds,,,,apple cider vinegar,,,,,,,,honey,,No,Spicy Whole Grain Pub Mustard
water spinach,,,,,oyster sauce,,,,,,green chillies,,,,,No,Stir Fried Morning Glory
,,,,,,,,pork,egg,,green chillies,,,,,No,Stir Fried Pork With Hot Basil
chana dal,Onion,tomato,,,,,,,,,,,,,,No,Tarka Dal
,,,,,,,,boneless chicken thighs,,,Ginger,,,,,No,Teriyaki Chicken
,,Peas,,,,,,,,old jasminie rice,,,,oil,,Yes,Thai Fried Rice
red grapefruit,,,,,,,,,,,green chillies,,,white sugar,,No,Thai Pomelo Salad
,,,,bread flour,,,,,,,,,,sugar,,No,Thin Crust Pizza
,,,,,,apple cider vinegar,,,,,guagillo chiles,,,,,No,Toasted Guajillo Salsa
tomatillos,Onion,cilantro,,,,,,,,,,,,,,No,Tomatillo Salsa
urad dal,,,,,,,,,,,,,,oil,,Yes,Vada
chickpeas,,,,,Mayo,,,,,,garlic,,,,,No,Vegetarian Chicken Salad
,Onion,,,,,,,,,noodles,Ginger,,,,,Yes,Vegetarian Pho
,,,,,,,,pork,,,garlic,,,,,Yes,Vietnamese Pork Chops
Coriander,,,,,,,,,,,garlic,Chilli pepper ,,,,No,Yemeni Hot Sauce
